-- Rodzaj --;-- Numer --;Histogram: Wariancja lab: tienta;Odchylenie standardowe lab: tienta;Krawędzie: Odchylenie standardowe rgb: zielony;Histogram: Wariancja lab: luminacja;Odchylenie standardowe lab: luminacja;Odchylenie standardowe rgb: zielony;Histogram: Wariancja rgb: zielony;Histogram: Skośność rgb: czerwony;Histogram: Kurtoza rgb: czerwony;Trzecia centroida klastra b*;Histogram: Kurtoza lab: luminacja;Odchylenie standardowe rgb: czerwony;Histogram: Wariancja rgb: czerwony;Krawędzie: Odchylenie standardowe rgb: niebieski;Histogram: Skośność rgb: zielony;Histogram: Kurtoza hsv: wartość;Histogram: Skośność hsv: wartość;Histogram: Skośność lab: luminacja;Histogram: Kurtoza rgb: zielony;Średnia hsv: nasycenie;Histogram: Kurtoza hsv: nasycenie;Histogram: Średnia hsv: nasycenie;Histogram: Skośność hsv: nasycenie;Histogram: Skośność lab: tienta;Histogram: Kurtoza lab: tienta;Histogram: Średnia rgb: zielony;Odchylenie standardowe hsv: wartość;Średnia rgb: zielony;Histogram: Wariancja hsv: wartość;Histogram: Średnia hsv: wartość;Średnia lab: luminacja;Średnia hsv: wartość;Odchylenie standardowe rgb: niebieski;Krawędzie: Średnia rgb: czerwony;Histogram: Średnia lab: luminacja;Histogram: Entropia rgb: zielony;Histogram: Entropia hsv: wartość;Histogram: Entropia lab: luminacja;Histogram: Entropia lab: temperatura;Krawędzie: Odchylenie standardowe rgb: czerwony
3;3;78.65699751260215;8.872034825228662;17.753157235666666;30.598843489546333;5.5297926533337405;17.451829496304747;304.5663527680924;2.129379602170537;1.7247073539123257;66.8951730347448;5.20282494901142;22.842812581062105;521.7940866135291;17.97004954013359;2.702382098038155;5.59715369174179;2.814535252874241;2.7575902806606476;4.822428201185;0.14331453504388622;2.3070581370684122;0.14331120733464675;2.2016437471581796;5.201135997511277;26.666181205486016;112.4465182008674;0.0723145355231499;112.4465182008674;0.005200960138409984;0.47148986752246846;47.397552565855904;0.4714861062597001;16.98584346608201;135.96041368090792;47.39666334834699;4.483229440527884;4.534544378165495;9.377226173944965;9.377226173944967;22.28986655273203
3;4;74.81417305135481;8.653583321423097;17.639156854215198;31.01365899760349;5.5643950560709;17.29211480065302;299.0172342789634;2.1391857540710504;1.7726374099530675;2.9242056598010895;4.971140497264613;22.61753719117504;511.5529885941862;18.047537465526943;2.7154312099874045;5.783858581127852;2.8347705718138942;2.730403293939813;4.895133911059044;0.1467465466010916;1.9178242044518568;0.14676090039567158;2.1320804142173606;5.088731633036674;25.34070900329012;112.07426451065594;0.07166976869505594;112.07426451065594;0.005110806361422532;0.4716256532466438;47.253638420326176;0.4716150691177687;17.0468546700813;134.69870371044678;47.25446344732905;4.548613108304464;4.580730298806996;9.40992595004395;9.409925950043952;22.541433142752823
3;5;32.96794676472456;5.7362453525117605;17.308880402969958;30.778826258099564;5.545419951531711;15.19947925843721;231.02416972766292;2.304121934436758;2.5778678467186698;-3.023761256954047;3.8848483931752558;18.117123792347357;328.2301745072387;16.547797735279804;2.539308136261371;4.991695103963373;2.724447801240338;2.5666996169534197;3.764017452352306;0.11818344570495505;3.6865977858670265;0.11820748034707729;2.4924857422140376;4.942074239226103;23.090941091085842;110.81785605564697;0.059702891473608716;110.81785605564697;0.00355119615456753;0.46486643374313813;46.83757558731725;0.46482660044118157;14.260515856227922;137.71371442013643;46.834516521188945;5.45048303503737;5.465975201230264;11.049862529913032;11.049862529913032;21.295466102114162
3;6;30.72156795119122;5.536000156696588;17.59372473788299;31.155831126608398;5.569557601799033;15.134953719543025;229.0668240927092;2.3051453773872326;2.5837447691618545;-3.207081163254026;3.7536460376270977;17.964459210457406;322.7217947241879;16.499229387769947;2.539741883420164;5.039372996043504;2.7315359974269247;2.5394607663861293;3.758803584887235;0.11276003413741426;4.009159575640711;0.11278679899578235;2.5488522630691692;5.010730234541591;23.926969784381022;112.19099659789308;0.058915875987694384;112.19099659789308;0.003459270645708504;0.4681990517642058;47.35569435306389;0.468167640233802;14.006208733030682;138.94099747746117;47.35987258945433;5.497521948246191;5.53366379275196;11.203629006919847;11.203629006919849;21.62328996791651
3;7;44.14776297353706;6.641328647020554;17.763212297117864;29.60038152615764;5.428029931966762;15.561195866801064;242.15081680494652;2.2709289347279045;2.4013797907395666;-1.080388880061263;4.615932125311077;19.326379802401714;373.5089562666808;16.998380445609968;2.6609660974488927;5.498706509226141;2.8038016875227356;2.675084894689519;4.49871552460828;0.11758511815563312;3.937427641773474;0.11760094507419894;2.519463768392328;5.139452574986461;25.649015799637976;113.16198332846638;0.062270471053217355;113.16198332846638;0.0038601020906798727;0.46937076906740294;47.65024008653487;0.469346406963716;14.71021360684056;140.32196201186406;47.655831054713424;4.908890642846118;4.962042154711165;10.091913940789306;10.09191394078931;22.070006556830304
3;8;44.212415762571894;6.64304759608938;18.11840467826698;32.281591544587776;5.670189571892558;16.33969747454158;266.9857135595406;2.35950749986792;2.842054052179434;66.90144076562207;3.444601001181854;18.57500417033386;345.0307799279202;17.086120236485954;2.4565276550836277;4.704762589288595;2.679637596289062;2.48599407461021;3.289976082877544;0.10890798023766979;4.7184062355893595;0.1089297128200121;2.691196545136623;5.0389737673060075;24.00682064764149;108.37421651726197;0.06557982602849986;108.37421651726197;0.004283562376539037;0.4613210016561577;46.28771653118857;0.46128095483513876;15.250785046353293;139.3749167591565;46.29167715065777;4.885455834509932;4.887190547670198;10.021882141500614;10.021882141500612;20.142432698816876
3;9;108.22303414553329;10.402789793729882;17.89081807115463;39.58777735176589;6.276282297966548;19.93066002923922;397.2312092011139;2.135808571517123;1.85229538181866;66.90289634102749;3.7645451063070325;25.469330503136337;648.6867962779911;16.96399335623145;2.41856034353161;4.514976829664145;2.62756958841352;2.489515105423576;3.4023467622357693;0.12274914897920775;4.2186074524923125;0.12272934848167795;2.601024482754614;5.593975505211026;30.716140728452494;100.45512733718196;0.09022994572251411;100.45512733718196;0.008115564995172684;0.4387615243534669;43.545183544769834;0.43863165778125;18.48894322118416;134.02378378378378;43.55100872712054;4.346797048064188;4.3505785287146335;9.08075433336108;9.080754333361078;18.59133455195183
3;10;111.18530602900843;10.546245217139818;18.180872253314448;37.492189273232064;6.109397977957107;19.790980253999216;391.68289941418675;2.1416947476210044;1.8698202041245153;0.3863059149646282;4.113824959722821;25.392469189590514;644.7774915443035;17.5415912051299;2.4735772611373408;4.72536364593241;2.665042420312555;2.553571087518799;3.715401861614784;0.13003352885571262;3.6935160718152913;0.13000432444628288;2.5099105491528033;5.484231932421454;29.432330245440788;101.04449792551925;0.08973757462450714;101.04449792551925;0.008024163041280088;0.44231721380313105;43.771256077113605;0.4421922423440075;18.653950789468606;134.6813559322034;43.77548603015831;4.46922823864122;4.479420471805935;9.297096484669938;9.297096484669938;18.95193410301149
3;11;103.85144923700378;10.194332759074314;18.649442661382412;33.474546750742476;5.778407451843284;18.756189360119926;351.7946393126759;2.088664631325739;1.5836879940187742;66.88324163133109;4.921246295208828;25.17359947523781;633.7101105396932;18.289547988835846;2.674731573363253;5.739046188102572;2.818534933186787;2.697315553538526;4.806791196701042;0.14241424513708525;3.078729898279528;0.14239983852533789;2.3344653422295996;5.860286999412721;35.73682136307571;106.0561281731344;0.0830954614949454;106.0561281731344;0.0068729166531191765;0.4494510385756676;45.1182381438144;0.4493230461597065;17.98315434846426;132.23416373758883;45.117546214258006;4.449890803907844;4.484986869083742;9.309273977324764;9.309273977324766;22.277991262013963
3;12;48.365345054508914;6.953826144659524;17.42682011696663;33.81664450468197;5.806383533664489;16.33623769030632;266.8726618741847;2.183017590487542;1.9206795462589001;66.82202261387272;3.429713181821561;20.495321321041686;420.0581960527459;16.372940237142874;2.49680466411743;4.546205408071914;2.6530112370706633;2.4752317227301903;3.5583099148501196;0.11650834040323704;4.100920563546103;0.1165254125033667;2.5575925565256634;5.709540536827527;32.49077719508103;104.57217097972033;0.06838293004149794;104.57217097972033;0.004668799547529248;0.4389994171747989;44.4077170542717;0.4388316726884919;15.070520650490424;134.66489315212166;44.408748117960286;4.952636693102301;4.978136121661914;10.124910279004917;10.124910279004919;20.200689837222217
